timestamp,machine_id,scenario,ax,ay,az,vibration_rms,pressure_hpa,temperature_c,motor_rpm,label,fault_code,severity
2026-06-23 23:07:11.000,MACHINE_001,normal,0.01738,0.02724,0.92369,0.53362,1011.81,27.33,1493.14,0,NORMAL,LOW
2026-06-23 23:07:11.100,MACHINE_001,normal,-0.00484,-0.01929,0.96558,0.5576,1011.22,27.62,1453.05,0,NORMAL,LOW
2026-06-23 23:07:11.200,MACHINE_001,normal,0.02267,-0.02864,0.98346,0.56819,1010.87,27.43,1468.84,0,NORMAL,LOW
2026-06-23 23:07:11.300,MACHINE_001,normal,0.05331,-0.00012,1.07551,0.62171,1013.87,27.67,1452.5,0,NORMAL,LOW
2026-06-23 23:07:11.400,MACHINE_001,normal,-0.0082,-0.00596,1.02226,0.59023,1012.93,27.87,1433.32,0,NORMAL,LOW
2026-06-23 23:07:11.500,MACHINE_001,normal,-0.00819,-0.01586,0.94658,0.54661,1013.82,28.5,1393.95,0,NORMAL,LOW
2026-06-23 23:07:11.600,MACHINE_001,normal,0.05527,0.02437,1.01944,0.58961,1014.29,27.81,1455.14,0,NORMAL,LOW
2026-06-23 23:07:11.700,MACHINE_001,normal,0.02686,0.03344,0.93811,0.54218,1013.65,27.05,1430.61,0,NORMAL,LOW
2026-06-23 23:07:11.800,MACHINE_001,normal,-0.01643,0.00309,1.04331,0.60243,1014.24,28.68,1429.99,0,NORMAL,LOW
2026-06-23 23:07:11.900,MACHINE_001,normal,0.01899,0.05171,0.98116,0.56736,1013.15,27.5,1437.53,0,NORMAL,LOW
2026-06-23 23:07:12.000,MACHINE_001,normal,-0.01622,-0.03996,0.99625,0.57573,1011.47,27.96,1493.62,0,NORMAL,LOW
2026-06-23 23:07:12.100,MACHINE_001,normal,-0.0163,-0.00678,1.05303,0.60805,1014.84,28.27,1510.12,0,NORMAL,LOW
2026-06-23 23:07:12.200,MACHINE_001,normal,0.00847,-0.02509,0.94851,0.54784,1012.37,28.12,1455.43,0,NORMAL,LOW
2026-06-23 23:07:12.300,MACHINE_001,normal,-0.06696,-0.06533,0.94412,0.54775,1011.85,28.66,1438.38,0,NORMAL,LOW
2026-06-23 23:07:12.400,MACHINE_001,normal,-0.06037,-0.00289,0.97666,0.56495,1012.98,28.29,1420.57,0,NORMAL,LOW
2026-06-23 23:07:12.500,MACHINE_001,normal,-0.01968,-0.00426,1.04154,0.60144,1011.88,27.48,1461.71,0,NORMAL,LOW
2026-06-23 23:07:12.600,MACHINE_001,normal,-0.03545,0.05297,0.93923,0.54351,1012.62,29.31,1494.57,0,NORMAL,LOW
2026-06-23 23:07:12.700,MACHINE_001,normal,0.011,0.02208,0.88671,0.51214,1013.77,28.12,1443.82,0,NORMAL,LOW
2026-06-23 23:07:12.800,MACHINE_001,normal,-0.03178,-0.03585,0.98195,0.56761,1013.77,27.91,1390.53,0,NORMAL,LOW
2026-06-23 23:07:12.900,MACHINE_001,normal,-0.04943,0.06489,1.02207,0.59197,1011.9,28.58,1466.75,0,NORMAL,LOW
2026-06-23 23:07:13.000,MACHINE_001,normal,0.0513,0.04274,1.04801,0.6063,1012.52,28.15,1474.63,0,NORMAL,LOW
2026-06-23 23:07:13.100,MACHINE_001,normal,-0.0079,0.02037,0.98147,0.56679,1014.86,28.24,1410.35,0,NORMAL,LOW
2026-06-23 23:07:13.200,MACHINE_001,normal,0.00236,-0.00793,0.98354,0.56787,1013.99,29.5,1454.41,0,NORMAL,LOW
2026-06-23 23:07:13.300,MACHINE_001,normal,-0.04987,-0.03358,1.04616,0.60499,1016.36,27.83,1461.28,0,NORMAL,LOW
2026-06-23 23:07:13.400,MACHINE_001,normal,-0.01905,-0.01303,0.92521,0.53434,1015.02,27.81,1448.17,0,NORMAL,LOW
2026-06-23 23:07:13.500,MACHINE_001,normal,0.00388,0.03811,0.98446,0.56881,1014.97,28.07,1430.23,0,NORMAL,LOW
2026-06-23 23:07:13.600,MACHINE_001,normal,-0.04028,0.06596,1.00762,0.58346,1011.17,28.64,1475.4,0,NORMAL,LOW
2026-06-23 23:07:13.700,MACHINE_001,normal,0.01315,0.05401,1.01797,0.5886,1014.4,27.1,1439.92,0,NORMAL,LOW
2026-06-23 23:07:13.800,MACHINE_001,normal,-0.02102,-0.01711,0.97961,0.56579,1013.17,26.82,1412.87,0,NORMAL,LOW
2026-06-23 23:07:13.900,MACHINE_001,normal,-0.01021,-0.03919,1.00138,0.57862,1012.42,27.65,1398.76,0,NORMAL,LOW
